,Time,Voltage,Current,Positive electrode stoichiometry,Discharge capacity [A.h],Battery negative particle concentration overpotential [V],Battery positive particle concentration overpotential [V],X-averaged battery negative reaction overpotential [V],X-averaged battery positive reaction overpotential [V],X-averaged battery concentration overpotential [V],X-averaged battery electrolyte ohmic losses [V],X-averaged battery negative solid phase ohmic losses [V],X-averaged battery positive solid phase ohmic losses [V]
59,3479.8050514198076,3.3354681379352087,-2.3,0.469556890634017,1.5332087828521823,-0.03580951135698465,0.00011093808786011294,-0.06659164919699988,0.0007683278072181388,0.002874203998199167,0.0016366761752059792,-1.527314179050859e-06,0.0035722714569828007
60,3539.8050514198076,3.3374596821145652,-2.3,0.4579120224717655,1.494875449518849,-0.029399937395117787,0.00011093753817759122,-0.06617684720579638,0.000770883292889657,0.002862442175677908,0.0016300209208781765,-1.528078058118064e-06,0.003652309739265558
61,3599.8050514198076,3.3386589362662793,-2.3,0.44626715430954017,1.4565421161855157,-0.022990995995917862,0.00011093957926977538,-0.06584262240928987,0.0007738614372678754,0.0028513314724913385,0.0016237737866695002,-1.5286542145545724e-06,0.003724168914548187
62,3659.8050514198076,3.339417884301274,-2.3,0.43462228614725995,1.4182087828521823,-0.017297684235218047,0.00011094358397478743,-0.06557653136500773,0.0007772590632160181,0.0028408760744492367,0.0016179253394230453,-1.529059981574531e-06,0.003788821153313471
63,3719.8050514198076,3.3399381064307185,-2.3,0.42297741798499017,1.379875449518849,-0.012630412798627366,0.00011094912627118703,-0.06536975245500569,0.0007810850978491324,0.002831066585011958,0.0016124619389929254,-1.529324316247619e-06,0.0038470722685830516
64,3779.8050514198076,3.340333944635508,-2.3,0.4113325498227516,1.3415421161855157,-0.009018062070247218,0.00011095596444654632,-0.06521483177651483,0.0007853577152636682,0.0028218824436649294,0.0016073657905891557,-1.5294756215960178e-06,0.0038996526543253474
65,3839.8050514198076,3.3406729824188854,-2.3,0.39968768166051083,1.3032087828521823,-0.006337162722404449,0.00011096400549570617,-0.06510731491695369,0.0007901018555025452,0.002813299531934455,0.0016026186324935767,-1.5295347935275266e-06,0.0039472051060984725
66,3899.8050514198076,3.3409963834470986,-2.3,0.38804281349828657,1.264875449518849,-0.004410930140462732,0.00011097327108533506,-0.0650427786754025,0.0007953484524056975,0.00280529486321225,0.0015982039182962388,-1.5295092717707894e-06,0.003990295644618946
67,3959.8050514198076,3.341337278655497,-2.3,0.3763979453360686,1.2265421161855157,-0.0030698980927834907,0.00011098387325869652,-0.06501951680216386,0.000801133883923999,0.0027978529280068224,0.0015941104522723595,-1.5293812675512734e-06,0.004029422131093252
68,4019.8050514198076,3.3417318064574166,-2.3,0.36475307717386884,1.1882087828521823,-0.002185251640569069,0.00011099600143760213,-0.06503472991313504,0.0008075003112222312,0.002790978554237992,0.0015903392970604661,-1.5290831682778218e-06,0.004065027460252946
